Player 1: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 83: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 84: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails'] | Cheater
Player 85: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 86: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 87: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 88: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 89: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 90: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 91: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 92: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 93: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 94: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 95: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 96: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 97: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 98: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 99: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 100: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails'] | Cheater
Player 101: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 102: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 103: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 104: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 105: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | Cheater
Player 106: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 107: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 108: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails'] | Cheater
Player 109: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 110: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 111: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 112: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails'] | Cheater
Player 113: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 114: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | Cheater
Player 115: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 116: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails'] | Cheater
Player 117: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails'] | Cheater
Player 118: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads'] | Cheater
Player 119: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | Cheater
Player 120: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | Cheater
Player 121: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 122: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 123: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 124: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 125: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads'] | Cheater
Player 126: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | Cheater
Player 127: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 128: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | Cheater
Player 129: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 130: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 131: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 132: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 133: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 134: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 135: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 136: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 137: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails'] | Cheater
Player 138: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 139: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 140: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 141: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads'] | Cheater
Player 142: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 143: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 144: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads'] | Cheater
Player 145: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 146: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails'] | Cheater
Player 147: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | Cheater
Player 148: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 149: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 150: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 151: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 152: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails'] | Cheater
Player 153: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 154: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 155: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | Cheater
Player 156: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 157: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads'] | Cheater
Player 158: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 159: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 160: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 161: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 162: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 163: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 164: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 165: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 166: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | Cheater
Player 167: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 168: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails'] | Cheater
Player 169: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | Cheater
Player 170: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 171: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads'] | Cheater
Player 172: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 173: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 174: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 175: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 176: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 177: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 178: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 179: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 180: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails'] | Cheater
Player 181: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 182: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 183: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails'] | Cheater
Player 184: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 185: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 186: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 187: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 188: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 189: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 190: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 191: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 192: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 193: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | Cheater
Player 194: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 195: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 196: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 197: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | Cheater
Player 198: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 199: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 200: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 201: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 202: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 203: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads'] | Cheater
Player 204: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 205: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 206: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 207: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 208: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 209: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 210: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 211: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 212: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 213: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 214: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 215: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 216: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 217: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 218: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | Cheater
Player 219: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 220: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | Cheater
Player 221: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads'] | Cheater
Player 222: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 223: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 224: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 225: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 226: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 227: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 228: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 229: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 230: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads'] | Cheater
Player 231: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 232: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 233: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 234: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 235: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 236: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 237: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 238: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 239: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 240: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 241: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 242: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 243: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 244: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 245: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 246: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads'] | Cheater
Player 247: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 248: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads'] | Cheater
Player 249: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails'] | Cheater
Player 250: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 251: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 252: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 253: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 254: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 255: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 256: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 257: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 258: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 259: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 260: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 261: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 262: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 263: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 264: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 265: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 266: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 267: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | Cheater
Player 268: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 269: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails'] | Cheater
Player 270: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 271: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 272: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 273: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | Cheater
Player 274: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 275: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 276: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | Cheater
Player 277: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 278: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 279: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails'] | Cheater
Player 280: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 281: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 282: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 283: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 284: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 285: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | Cheater
Player 286: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 287: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 288: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 289: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 290: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 291: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 292: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 293: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 294: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 295: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 296: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | Cheater
Player 297: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 298: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 299: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 300: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 301: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 302: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 303: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails'] | Cheater
Player 304: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 305: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 306: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails'] | Cheater
Player 307: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 308: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 309: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 310: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 311: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 312: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails'] | Cheater
Player 313: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 314: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads'] | Cheater
Player 315: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails'] | Cheater
Player 316: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 317: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 318: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 319: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | Cheater
Player 320: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 321: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 322: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | Cheater
Player 323: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 324: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 325: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 326: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 327: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 328: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads'] | Cheater
