Player 1: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 28: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 29: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 30: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 31: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 32: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 33: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 34: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 35: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 36: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 37: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 38: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 39: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 40: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 41: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 42: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 43: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 44: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 45: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 46: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 47: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 48: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 49: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 50: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 51: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 52: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 53: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 54: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 55: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 56: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 57: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 58: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 59: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 60: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 61: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 62: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 63: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 64: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 65: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 66: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 67: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 68: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 69: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 70: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 71: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 72: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 73: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 74: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 75: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 76: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 77: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 78: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 79: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 80: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 81: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 82: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 83: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 84: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 85: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 86: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 87: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 88: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 89: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 90: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 91: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 92: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 93: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 94: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 95: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 96: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 97: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 98: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 99: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 100: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 101: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 102: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 103: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 104: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 105: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 106: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 107: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 108: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 109: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 110: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 111: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 112: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 113: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 114: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 115: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 116: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 117: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 118: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 119: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 120: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 121: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 122: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 123: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 124: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 125: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 126: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 127: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 128: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 129: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 130: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 131: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 132: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 133: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 134: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 135: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 136: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 137: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 138: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 139: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 140: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 141: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 142: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 143: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 144: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 145: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 146: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 147: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 148: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 149: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 150: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 151: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 152: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 153: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 154: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 155: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 156: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 157: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 158: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 159: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 160: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 161: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 162: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 163: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 164: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 165: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 166: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 167: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 168: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 169: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 170: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 171: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 172: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 173: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 174: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 175: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 176: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 177: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 178: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 179: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 180: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 181: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 182: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 183: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 184: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 185: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 186: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 187: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 188: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 189: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 190: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 191: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 192: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 193: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 194: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 195: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 196: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 197: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 198: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 199: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 200: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 201: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 202: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 203: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 204: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 205: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 206: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 207: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 208: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 209: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 210: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 211: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 212: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 213: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 214: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 215: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 216: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 217: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 218: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 219: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 220: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 221: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 222: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 223: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 224: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 225: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 226: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 227: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 228: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 229: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 230: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 231: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 232: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 233: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 234: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 235: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 236: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 237: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 238: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 239: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 240: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 241: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 242: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 243: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 244: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 245: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 246: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 247: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 248: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 249: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 250: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 251: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 252: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 253: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 254: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 255: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 256: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 257: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 258: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 259: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 260: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 261: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 262: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 263: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 264: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 265: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 266: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 267: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 268: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 269: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 270: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 271: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 272: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 273: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 274: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 275: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 276: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 277: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 278: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 279: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 280: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 281: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 282: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 283: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 284: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 285: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 286: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 287: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 288: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 289: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 290: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 291: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 292: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 293: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 294: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 295: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 296: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 297: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 298: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 299: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 300: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 301: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 302: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 303: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 304: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 305: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 306: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 307: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 308: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 309: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 310: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 311: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 312: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 313: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 314: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails', 'Not Cheater']
Player 315: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 316: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 317: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails', 'Not Cheater']
