Player 1: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 144: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 145: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 146: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 147: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 148: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 149: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 150: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails']
Player 151: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 152: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 153: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails']
Player 154: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 155: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 156: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 157: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 158: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 159: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 160: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 161: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 162: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 163: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 164: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 165: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 166: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 167: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 168: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 169: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 170: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 171: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads']
Player 172: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 173: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 174: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 175: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 176: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 177: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 178: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 179: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 180: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails']
Player 181: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 182: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails']
Player 183: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 184: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 185: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 186: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 187: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads']
Player 188: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 189: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 190: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 191: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads']
Player 192: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 193: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads']
Player 194: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 195: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 196: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads']
Player 197: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails']
Player 198: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 199: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 200: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 201: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 202: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails']
Player 203: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 204: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 205: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 206: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 207: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads']
Player 208: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 209: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads']
Player 210: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 211: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails']
Player 212: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads']
Player 213: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads']
Player 214: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 215: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 216: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails']
Player 217: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads']
Player 218: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 219: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 220: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails']
Player 221: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 222: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 223: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 224: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails']
Player 225: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 226: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads']
Player 227: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 228: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads']
Player 229: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 230: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 231: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 232: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 233: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 234: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 235: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 236: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails']
Player 237: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 238: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 239: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 240: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails']
Player 241: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 242: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 243: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 244: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 245: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 246: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 247: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads']
Player 248: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails']
Player 249: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 250: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails']
Player 251: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 252: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 253: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 254: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 255: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 256: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 257: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails']
Player 258: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads']
Player 259: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads']
Player 260: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails']
Player 261: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 262: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 263: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails']
Player 264: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails']
Player 265: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads']
Player 266: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails']
Player 267: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 268: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 269: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 270: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 271: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 272: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads']
Player 273: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 274: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 275: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 276: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 277: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 278: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails']
Player 279: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 280: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 281: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 282: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 283: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 284: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 285: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails']
Player 286: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 287: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads']
Player 288: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 289: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 290: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 291: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 292: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 293: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails']
Player 294: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 295: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 296: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads']
Player 297: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads']
Player 298: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails']
Player 299: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 300: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails']
Player 301: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 302: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 303: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 304: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails']
Player 305: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails']
Player 306: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 307: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 308: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 309: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 310: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 311: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 312: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 313: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 314: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails']
Player 315: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 316: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 317: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 318: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 319: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails']
Player 320: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 321: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails']
Player 322: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 323: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 324: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 325: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 326: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 327: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 328: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 329: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 330: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 331: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 332: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 333: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 334: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 335: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 336: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads']
Player 337: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 338: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads']
Player 339: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 340: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 341: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 342: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 343: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 344: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 345: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 346: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 347: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 348: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 349: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails']
Player 350: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails']
Player 351: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 352: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 353: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 354: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails']
Player 355: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 356: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 357: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 358: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 359: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 360: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails']
Player 361: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 362: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 363: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 364: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails']
Player 365: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 366: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 367: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 368: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 369: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails']
Player 370: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 371: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 372: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 373: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 374: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 375: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 376: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 377: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 378: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 379: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails']
Player 380: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails']
Player 381: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 382: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails']
Player 383: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 384: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 385: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads']
Player 386: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads']
Player 387: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
